#{"t_start": 1784097126.338288, "env_id": "CartPole-v1"}
r,l,t
27.0,27,0.584835
33.0,33,0.585504
14.0,14,0.5858
30.0,30,0.586687
28.0,28,0.667213
14.0,14,0.669437
14.0,14,0.67102
13.0,13,0.672974
14.0,14,0.674531
19.0,19,0.678468
13.0,13,0.680145
12.0,12,0.681622
15.0,15,0.683635
14.0,14,0.685241
29.0,29,0.68928
19.0,19,0.691319
16.0,16,0.693313
30.0,30,0.697229
29.0,29,0.700829
14.0,14,0.70322
13.0,13,0.704826
18.0,18,0.706915
13.0,13,0.708792
10.0,10,0.70988
21.0,21,0.712629
17.0,17,0.715037
41.0,41,0.720057
14.0,14,0.721606
25.0,25,0.724987
27.0,27,0.728133
19.0,19,0.730645
14.0,14,0.732486
15.0,15,0.734194
18.0,18,0.737031
11.0,11,0.738572
16.0,16,0.740622
30.0,30,0.744394
13.0,13,0.745921
23.0,23,0.748901
17.0,17,0.751024
32.0,32,0.755198
11.0,11,0.756734
40.0,40,0.761588
15.0,15,0.763627
14.0,14,0.765366
12.0,12,0.76703
32.0,32,0.770821
24.0,24,0.773827
15.0,15,0.775881
19.0,19,0.778378
12.0,12,0.779888
36.0,36,0.784564
13.0,13,0.786093
43.0,43,0.791559
24.0,24,0.794644
15.0,15,0.796777
13.0,13,0.798389
18.0,18,0.800417
24.0,24,0.803497
22.0,22,0.80662
17.0,17,0.808766
33.0,33,0.812724
10.0,10,0.814206
12.0,12,0.815699
12.0,12,0.817373
25.0,25,0.820442
22.0,22,0.823503
18.0,18,0.825684
22.0,22,0.82874
18.0,18,0.830974
32.0,32,0.835968
16.0,16,0.838299
12.0,12,0.840146
21.0,21,0.842906
13.0,13,0.844988
21.0,21,0.847482
21.0,21,0.850244
16.0,16,0.852513
23.0,23,0.855608
23.0,23,0.858927
17.0,17,0.861102
18.0,18,0.863357
31.0,31,0.867738
23.0,23,0.870739
26.0,26,0.873967
20.0,20,0.876728
30.0,30,0.880941
20.0,20,0.883597
20.0,20,0.886311
12.0,12,0.887919
10.0,10,0.889208
16.0,16,0.891463
51.0,51,0.898641
28.0,28,0.902434
24.0,24,0.905825
15.0,15,0.908061
23.0,23,0.911112
16.0,16,0.913292
13.0,13,0.914899
