#{"t_start": 1784097176.0750148, "env_id": "CartPole-v1"}
r,l,t
19.0,19,0.590352
21.0,21,0.590839
36.0,36,0.591546
10.0,10,0.591768
16.0,16,0.592159
14.0,14,0.611013
12.0,12,0.612876
12.0,12,0.614803
20.0,20,0.617535
20.0,20,0.620135
41.0,41,0.625639
24.0,24,0.628878
18.0,18,0.630936
37.0,37,0.635402
12.0,12,0.636879
18.0,18,0.639219
14.0,14,0.640974
14.0,14,0.643148
34.0,34,0.64701
28.0,28,0.650469
51.0,51,0.656877
26.0,26,0.660468
32.0,32,0.664547
10.0,10,0.665593
39.0,39,0.670626
12.0,12,0.672104
11.0,11,0.673636
30.0,30,0.677501
22.0,22,0.680419
29.0,29,0.683783
15.0,15,0.685695
25.0,25,0.688668
14.0,14,0.690224
15.0,15,0.692568
25.0,25,0.695569
14.0,14,0.697459
21.0,21,0.700038
14.0,14,0.702034
16.0,16,0.704109
16.0,16,0.706272
15.0,15,0.707991
16.0,16,0.710004
23.0,23,0.712999
18.0,18,0.715383
9.0,9,0.716564
11.0,11,0.718016
32.0,32,0.722048
19.0,19,0.724291
11.0,11,0.725923
15.0,15,0.727988
21.0,21,0.73053
11.0,11,0.732161
32.0,32,0.736333
12.0,12,0.737885
27.0,27,0.741537
30.0,30,0.745173
29.0,29,0.74867
11.0,11,0.750056
22.0,22,0.752958
21.0,21,0.755659
16.0,16,0.757706
10.0,10,0.758779
10.0,10,0.760248
10.0,10,0.761444
13.0,13,0.763527
21.0,21,0.766176
10.0,10,0.767303
16.0,16,0.76947
10.0,10,0.771012
21.0,21,0.773834
30.0,30,0.778016
17.0,17,0.78022
20.0,20,0.782864
22.0,22,0.785664
14.0,14,0.787617
10.0,10,0.788812
10.0,10,0.790394
13.0,13,0.791884
26.0,26,0.795582
17.0,17,0.797644
18.0,18,0.799882
13.0,13,0.801926
9.0,9,0.803091
23.0,23,0.806162
14.0,14,0.807882
10.0,10,0.809522
17.0,17,0.811718
16.0,16,0.813978
12.0,12,0.815573
14.0,14,0.817314
13.0,13,0.819428
10.0,10,0.820514
22.0,22,0.823768
13.0,13,0.825391
12.0,12,0.827053
15.0,15,0.829122
24.0,24,0.832361
13.0,13,0.833984
14.0,14,0.835599
51.0,51,0.842334
19.0,19,0.84494
18.0,18,0.847203
9.0,9,0.848722
11.0,11,0.849956
10.0,10,0.851639
10.0,10,0.852784
11.0,11,0.854362
15.0,15,0.856535
12.0,12,0.858308
11.0,11,0.859966
12.0,12,0.861607
22.0,22,0.864406
13.0,13,0.865998
20.0,20,0.868598
22.0,22,0.871828
18.0,18,0.874389
9.0,9,0.876131
20.0,20,0.879135
9.0,9,0.880534
19.0,19,0.883416
29.0,29,0.887352
14.0,14,0.888983
16.0,16,0.891309
10.0,10,0.893079
23.0,23,0.896306
9.0,9,0.897488
11.0,11,0.899081
11.0,11,0.900551
