#{"t_start": 1784097135.059406, "env_id": "CartPole-v1"}
r,l,t
11.0,11,0.026774
15.0,15,0.028538
23.0,23,0.031064
16.0,16,0.03282
27.0,27,0.035717
39.0,39,0.040236
24.0,24,0.04276
24.0,24,0.045273
25.0,25,0.047867
36.0,36,0.051592
21.0,21,0.053868
27.0,27,0.056663
46.0,46,0.061423
10.0,10,0.062496
14.0,14,0.063958
35.0,35,0.06757
14.0,14,0.06903
11.0,11,0.070224
10.0,10,0.071312
19.0,19,0.073325
9.0,9,0.074381
53.0,53,0.079863
15.0,15,0.081434
14.0,14,0.082926
12.0,12,0.084203
9.0,9,0.085156
22.0,22,0.087575
24.0,24,0.090085
18.0,18,0.091936
30.0,30,0.095045
11.0,11,0.096219
26.0,26,0.098903
39.0,39,0.103147
47.0,47,0.108217
40.0,40,0.112472
32.0,32,0.115829
24.0,24,0.118338
32.0,32,0.12191
20.0,20,0.123991
46.0,46,0.12872
38.0,38,0.132653
33.0,33,0.136097
21.0,21,0.13832
24.0,24,0.140846
17.0,17,0.142664
16.0,16,0.144373
25.0,25,0.146998
24.0,24,0.149485
19.0,19,0.151458
16.0,16,0.153217
30.0,30,0.156321
22.0,22,0.158597
14.0,14,0.160055
63.0,63,0.166478
16.0,16,0.168135
47.0,47,0.172954
25.0,25,0.175506
25.0,25,0.178093
48.0,48,0.182939
10.0,10,0.183975
18.0,18,0.185903
9.0,9,0.186873
13.0,13,0.188255
31.0,31,0.191473
12.0,12,0.192732
37.0,37,0.196558
26.0,26,0.199255
23.0,23,0.201681
18.0,18,0.203555
14.0,14,0.205026
14.0,14,0.206493
15.0,15,0.208056
23.0,23,0.210463
21.0,21,0.212655
20.0,20,0.214736
39.0,39,0.218778
20.0,20,0.220876
16.0,16,0.222562
13.0,13,0.223926
24.0,24,0.22644
20.0,20,0.228676
19.0,19,0.230692
40.0,40,0.234871
20.0,20,0.236998
16.0,16,0.238665
13.0,13,0.240023
13.0,13,0.510956
39.0,39,0.515245
14.0,14,0.516772
33.0,33,0.520509
76.0,76,0.528572
20.0,20,0.5309
17.0,17,0.53274
43.0,43,0.537429
43.0,43,0.541969
32.0,32,0.545373
22.0,22,0.547703
21.0,21,0.549941
11.0,11,0.551124
30.0,30,0.554383
55.0,55,0.560131
11.0,11,0.561307
44.0,44,0.565927
17.0,17,0.567743
9.0,9,0.568764
66.0,66,0.575685
13.0,13,0.577066
39.0,39,0.581108
16.0,16,0.582799
24.0,24,0.585335
31.0,31,0.588658
54.0,54,0.594337
63.0,63,0.600899
92.0,92,0.61056
57.0,57,0.616461
23.0,23,0.61894
38.0,38,0.622959
18.0,18,0.624859
24.0,24,0.627389
11.0,11,0.628576
32.0,32,0.631925
14.0,14,0.633409
