#{"t_start": 1784097147.577489, "env_id": "CartPole-v1"}
r,l,t
13.0,13,0.003656
40.0,40,0.008127
23.0,23,0.010673
24.0,24,0.013303
58.0,58,0.01931
15.0,15,0.020889
11.0,11,0.022058
34.0,34,0.025515
23.0,23,0.027924
11.0,11,0.029089
18.0,18,0.03096
44.0,44,0.035469
12.0,12,0.036724
10.0,10,0.03778
16.0,16,0.039462
11.0,11,0.040612
20.0,20,0.04269
13.0,13,0.044076
17.0,17,0.04584
23.0,23,0.048206
17.0,17,0.049966
13.0,13,0.051321
16.0,16,0.052977
20.0,20,0.055036
49.0,49,0.060064
27.0,27,0.06285
20.0,20,0.06492
10.0,10,0.065956
14.0,14,0.067422
15.0,15,0.068973
23.0,23,0.071334
14.0,14,0.072787
45.0,45,0.077414
14.0,14,0.078879
22.0,22,0.081142
24.0,24,0.083605
12.0,12,0.084882
14.0,14,0.08633
27.0,27,0.0891
14.0,14,0.090549
21.0,21,0.092728
58.0,58,0.098656
17.0,17,0.100432
41.0,41,0.104611
26.0,26,0.107272
25.0,25,0.109887
53.0,53,0.115259
14.0,14,0.116732
47.0,47,0.121511
19.0,19,0.123451
39.0,39,0.127468
42.0,42,0.131738
15.0,15,0.133299
19.0,19,0.135243
27.0,27,0.13802
41.0,41,0.142187
35.0,35,0.145796
23.0,23,0.148135
11.0,11,0.149299
64.0,64,0.155776
14.0,14,0.157224
17.0,17,0.158958
15.0,15,0.160522
20.0,20,0.162568
32.0,32,0.165838
22.0,22,0.168096
25.0,25,0.170641
22.0,22,0.172927
16.0,16,0.174569
39.0,39,0.178892
16.0,16,0.180592
43.0,43,0.184965
11.0,11,0.186094
15.0,15,0.187633
61.0,61,0.193777
20.0,20,0.195815
18.0,18,0.197674
17.0,17,0.199401
20.0,20,0.201425
24.0,24,0.203838
13.0,13,0.205166
21.0,21,0.207293
11.0,11,0.208421
20.0,20,0.210455
27.0,27,0.213194
12.0,12,0.472546
18.0,18,0.474564
76.0,76,0.482483
26.0,26,0.485218
27.0,27,0.488044
25.0,25,0.490661
109.0,109,0.501869
62.0,62,0.508231
16.0,16,0.510109
47.0,47,0.51513
21.0,21,0.51734
12.0,12,0.518607
10.0,10,0.519651
21.0,21,0.521833
55.0,55,0.527494
17.0,17,0.529256
46.0,46,0.533947
26.0,26,0.536607
54.0,54,0.542102
33.0,33,0.545487
42.0,42,0.549758
17.0,17,0.551526
45.0,45,0.556081
16.0,16,0.557712
36.0,36,0.5614
36.0,36,0.565042
10.0,10,0.566084
22.0,22,0.568328
23.0,23,0.570689
18.0,18,0.572515
14.0,14,0.573957
12.0,12,0.575197
27.0,27,0.577969
20.0,20,0.580012
68.0,68,0.586857
19.0,19,0.588796
35.0,35,0.59233
24.0,24,0.594801
12.0,12,0.596029
30.0,30,0.599072
26.0,26,0.601703
42.0,42,0.60595
68.0,68,0.613175
17.0,17,0.614979
14.0,14,0.616475
14.0,14,0.617936
13.0,13,0.619299
55.0,55,0.624976
28.0,28,0.628005
41.0,41,0.632266
52.0,52,0.63761
17.0,17,0.639381
14.0,14,0.640831
18.0,18,0.642703
31.0,31,0.645903
34.0,34,0.649371
16.0,16,0.651022
57.0,57,0.656831
32.0,32,0.660122
16.0,16,0.661785
26.0,26,0.664465
24.0,24,0.666923
26.0,26,0.6696
37.0,37,0.673375
18.0,18,0.675241
23.0,23,0.677706
20.0,20,0.679801
52.0,52,0.932964
49.0,49,0.938161
73.0,73,0.945944
23.0,23,0.948383
83.0,83,0.956755
65.0,65,0.963418
87.0,87,0.972152
45.0,45,0.9767
69.0,69,0.983596
54.0,54,0.989019
27.0,27,0.99174
77.0,77,0.999429
76.0,76,1.007025
24.0,24,1.009458
117.0,117,1.021214
36.0,36,1.024856
28.0,28,1.02773
18.0,18,1.029555
102.0,102,1.039797
14.0,14,1.041245
28.0,28,1.044136
103.0,103,1.05454
66.0,66,1.061354
49.0,49,1.066422
71.0,71,1.073677
93.0,93,1.083175
29.0,29,1.08614
40.0,40,1.090225
35.0,35,1.093971
11.0,11,1.095146
15.0,15,1.096701
51.0,51,1.101884
31.0,31,1.10504
35.0,35,1.108599
71.0,71,1.115739
38.0,38,1.119574
70.0,70,1.126613
44.0,44,1.131043
40.0,40,1.135056
23.0,23,1.137386
94.0,94,1.395589
91.0,91,1.405093
19.0,19,1.407081
23.0,23,1.409497
41.0,41,1.413738
162.0,162,1.430289
252.0,252,1.45591
50.0,50,1.461052
95.0,95,1.470736
29.0,29,1.47372
68.0,68,1.480661
59.0,59,1.486672
83.0,83,1.495123
66.0,66,1.501842
110.0,110,1.512998
71.0,71,1.520216
138.0,138,1.534217
130.0,130,1.547409
36.0,36,1.551086
44.0,44,1.555559
72.0,72,1.562887
145.0,145,1.577602
73.0,73,1.584985
99.0,99,1.595025
154.0,154,1.856171
