#{"t_start": 1784097344.4414651, "env_id": "None"}
r,l,t
-120.4,100,0.012726
-125.4,100,0.02257
-109.6,100,0.032594
3.1,18,0.034453
0.5,18,0.036263
-185.4,100,0.047373
-180.8,100,0.057488
-72.8,100,0.067239
-90.2,100,0.07695
-95.0,100,0.086672
-157.2,100,0.096554
-179.8,100,0.106285
-134.6,100,0.115901
-3.4,32,0.119049
-0.3,34,0.122325
-128.4,100,0.131915
-112.0,100,0.141567
0.9,22,0.143763
-128.6,100,0.153641
-78.9,86,0.162103
-2.1,26,0.164668
-43.2,100,0.174341
-3.7,26,0.176937
-79.2,100,0.186551
-122.6,100,0.196225
-15.1,42,0.200361
-31.0,64,0.452739
-8.4,44,0.457135
1.0,20,0.459118
3.0,16,0.460681
5.9,14,0.462049
-18.6,48,0.467117
3.8,16,0.4688
-7.9,38,0.472674
-40.7,66,0.479424
2.7,22,0.481919
-8.7,30,0.484925
4.1,18,0.486709
-21.1,42,0.490802
-4.6,36,0.494289
-0.1,18,0.496042
4.8,16,0.497704
-4.5,30,0.500665
4.2,16,0.502227
4.5,14,0.503599
-16.1,62,0.509612
-16.1,46,0.514116
-4.5,30,0.517034
-1.6,20,0.518986
-11.7,38,0.52268
1.9,18,0.524443
-25.2,40,0.528293
-10.4,36,0.53193
-23.1,50,0.536798
-1.1,22,0.538935
0.7,18,0.540709
3.7,14,0.542094
-2.1,30,0.545005
-46.6,56,0.550402
-1.1,18,0.552153
3.7,22,0.5543
-9.0,48,0.558914
-4.2,28,0.561627
-28.1,50,0.566647
4.2,16,0.568295
4.4,12,0.569539
-74.0,84,0.577915
-8.1,38,0.581761
7.2,8,0.582564
5.7,10,0.583552
-120.2,100,0.593171
-8.0,32,0.59633
-8.3,38,0.599968
-10.3,30,0.602859
-32.8,52,0.607825
5.0,12,0.609012
3.1,18,0.610747
-28.8,72,0.61763
4.2,12,0.618809
6.5,10,0.619784
-1.0,20,0.621715
-29.1,94,0.630684
-15.1,50,0.635485
4.9,14,0.636842
2.2,16,0.638387
-0.2,24,0.640727
5.7,10,0.641697
-76.6,100,0.651242
-3.5,22,0.900806
-0.2,20,0.902898
-0.2,16,0.904518
1.3,22,0.906733
3.0,16,0.908318
5.2,12,0.90954
2.2,16,0.911146
-16.8,48,0.915845
0.9,18,0.917643
-2.3,22,0.919832
4.8,16,0.921419
3.5,14,0.922817
2.2,16,0.92441
4.5,14,0.925817
-3.1,22,0.927982
-10.6,36,0.931499
6.2,12,0.932696
-1.1,26,0.935252
1.7,22,0.937408
5.7,10,0.938412
4.7,14,0.939945
2.5,18,0.941797
1.2,24,0.944156
4.2,16,0.945736
4.6,12,0.946924
6.4,12,0.948117
6.9,10,0.949102
5.2,12,0.950279
1.8,24,0.952593
-13.0,36,0.956046
6.5,10,0.957028
-5.3,26,0.959536
4.4,12,0.960708
0.7,22,0.962825
4.6,12,0.963989
1.1,18,0.965711
5.9,10,0.966684
-2.1,18,0.968401
6.2,12,0.969572
1.0,20,0.971487
5.7,10,0.972456
3.5,22,0.974579
3.1,14,0.975927
5.9,10,0.976897
6.1,14,0.978247
3.9,14,0.9796
1.8,24,0.981889
1.8,20,0.983807
7.2,8,0.984585
-4.3,26,0.987071
0.3,18,0.988794
4.8,12,0.989968
-11.8,36,0.993379
4.3,14,0.994729
5.7,10,0.9957
-8.2,32,0.998738
3.3,14,1.000084
7.2,8,1.000856
4.2,16,1.002457
6.1,10,1.003461
5.5,10,1.004442
3.1,14,1.005829
-4.8,28,1.008594
-14.4,36,1.012131
4.8,12,1.013315
4.4,16,1.014883
7.2,8,1.01568
-0.2,20,1.017637
-5.2,28,1.02036
4.6,12,1.021549
0.5,22,1.023708
4.0,12,1.02487
3.2,20,1.026787
-10.3,30,1.029642
4.2,12,1.030832
5.2,12,1.032295
2.7,18,1.034136
2.3,18,1.035933
6.7,10,1.036938
0.7,18,1.038711
-16.7,46,1.043208
7.2,8,1.044004
1.1,18,1.045769
2.2,20,1.047722
-11.8,40,1.051585
7.2,8,1.052383
-8.8,40,1.056272
2.7,18,1.058033
0.8,28,1.060741
2.7,22,1.062859
-30.4,48,1.067469
5.5,14,1.068829
0.8,20,1.070765
4.4,16,1.072324
1.2,20,1.074267
1.5,18,1.076016
1.5,22,1.07814
-7.1,30,1.081015
-2.6,28,1.083712
3.9,14,1.085072
4.3,14,1.086425
5.6,12,1.087594
-0.6,24,1.089939
-7.5,26,1.092472
-2.0,24,1.094774
5.3,14,1.096123
1.3,22,1.098246
-4.5,26,1.343075
5.6,12,1.344334
5.5,10,1.345339
6.5,10,1.34633
6.7,10,1.347314
3.8,16,1.348867
5.3,14,1.350236
7.2,8,1.351028
3.6,16,1.352592
6.1,14,1.353945
6.5,10,1.354923
7.2,8,1.355717
5.8,12,1.356882
3.3,18,1.358619
4.7,18,1.360351
3.9,14,1.361702
3.7,22,1.363806
7.2,8,1.364585
6.9,10,1.365557
4.5,14,1.366911
3.4,16,1.368458
6.1,10,1.369433
6.3,10,1.370404
4.2,12,1.371565
3.6,20,1.373499
3.7,14,1.374857
6.9,10,1.375834
2.5,18,1.377571
7.2,8,1.378348
7.2,8,1.37913
4.5,14,1.380482
5.6,12,1.381643
3.1,14,1.382992
-1.2,20,1.384905
4.9,14,1.38626
6.5,10,1.387238
6.4,12,1.388402
6.4,12,1.389568
4.2,16,1.391113
6.0,12,1.392284
7.2,8,1.393065
7.2,8,1.393857
6.9,10,1.39483
5.9,10,1.395798
7.2,8,1.396573
7.2,8,1.397353
3.1,18,1.39908
7.2,8,1.399859
4.2,16,1.401398
6.1,10,1.402372
3.7,14,1.403716
6.9,10,1.404678
4.0,16,1.406228
7.2,8,1.40701
6.7,10,1.407977
0.5,18,1.409696
3.2,20,1.411609
4.1,14,1.412952
0.9,26,1.415439
3.9,14,1.416783
7.2,8,1.417561
5.0,12,1.418721
4.2,16,1.420261
3.9,14,1.421612
7.2,8,1.422399
5.0,16,1.423929
7.2,8,1.424709
2.8,20,1.426619
-0.6,20,1.428535
4.2,12,1.429697
4.2,12,1.430855
6.7,10,1.431821
6.5,10,1.432793
3.4,16,1.434323
6.9,10,1.435293
3.5,18,1.437019
3.6,12,1.438177
5.7,10,1.439158
1.9,14,1.440501
6.1,10,1.441471
5.2,12,1.442631
0.8,20,1.444546
3.6,12,1.445704
5.9,10,1.446671
6.1,10,1.447632
3.3,14,1.448975
5.5,10,1.449945
2.6,16,1.451478
3.7,18,1.4532
4.5,14,1.454538
6.1,14,1.455887
7.2,8,1.456663
7.2,8,1.457443
4.6,12,1.4586
7.2,8,1.45938
3.3,22,1.461481
4.7,14,1.462824
4.9,18,1.464539
4.7,14,1.465884
6.9,10,1.466849
6.9,10,1.467811
7.2,8,1.468588
5.5,14,1.469923
0.5,26,1.472408
6.0,12,1.473563
5.9,10,1.474523
4.3,14,1.475857
7.2,8,1.476634
6.1,14,1.477982
5.7,10,1.47895
6.5,10,1.479909
5.6,12,1.48107
7.2,8,1.481852
7.2,8,1.482632
5.7,10,1.483602
7.2,8,1.484377
