#{"t_start": 1784097332.540789, "env_id": "None"}
r,l,t
10.0,36,0.582604
10.0,58,0.588401
10.0,68,0.595763
10.0,84,0.603914
0.0,100,0.613654
0.0,100,0.624628
10.0,80,0.632615
10.0,38,0.636355
0.0,100,0.646106
0.0,100,0.655817
0.0,100,0.665537
10.0,50,0.670457
0.0,100,0.680232
10.0,12,0.681477
0.0,100,0.691077
10.0,96,0.700331
0.0,100,0.710054
10.0,28,0.712865
0.0,100,0.722521
10.0,18,0.72434
0.0,100,0.733985
0.0,100,0.743653
10.0,42,0.747784
0.0,100,0.757404
10.0,78,0.764979
10.0,86,0.773256
10.0,100,1.082759
0.0,100,1.09251
10.0,24,1.094916
10.0,30,1.097828
10.0,40,1.101707
10.0,46,1.106144
10.0,28,1.108848
10.0,30,1.111757
10.0,64,1.117889
10.0,26,1.120421
10.0,52,1.125407
10.0,50,1.130215
10.0,34,1.133485
10.0,24,1.135811
10.0,26,1.138319
10.0,24,1.140638
10.0,54,1.145817
10.0,34,1.149083
10.0,16,1.150646
10.0,32,1.153719
10.0,28,1.156417
10.0,36,1.159869
10.0,38,1.163513
10.0,48,1.168103
10.0,40,1.171939
10.0,8,1.172761
10.0,8,1.173562
10.0,58,1.179116
10.0,58,1.184646
10.0,72,1.191498
10.0,74,1.198526
10.0,34,1.20179
10.0,26,1.204289
10.0,20,1.206215
10.0,84,1.214223
10.0,14,1.215579
10.0,14,1.216941
10.0,60,1.222682
10.0,66,1.228971
10.0,72,1.235819
10.0,70,1.242495
0.0,100,1.251972
10.0,18,1.253782
10.0,90,1.262368
10.0,80,1.269995
10.0,86,1.518531
10.0,8,1.519375
10.0,34,1.522693
10.0,22,1.524834
10.0,14,1.526518
10.0,40,1.530358
10.0,18,1.532106
10.0,10,1.533088
10.0,24,1.535472
10.0,18,1.537217
10.0,12,1.538504
10.0,12,1.539673
10.0,14,1.541026
10.0,18,1.542768
10.0,14,1.544121
10.0,40,1.547954
10.0,14,1.549306
10.0,16,1.550851
10.0,10,1.551819
10.0,10,1.552797
10.0,32,1.555859
10.0,14,1.557205
10.0,12,1.558376
10.0,10,1.559354
10.0,10,1.560328
10.0,10,1.5613
10.0,22,1.563411
10.0,14,1.564768
10.0,16,1.566311
10.0,12,1.567471
10.0,12,1.568633
10.0,10,1.569603
10.0,12,1.570764
10.0,10,1.571736
10.0,20,1.573656
10.0,12,1.57482
10.0,10,1.57579
10.0,32,1.57885
10.0,24,1.581152
10.0,32,1.584208
10.0,22,1.586328
10.0,22,1.58845
10.0,24,1.590745
10.0,14,1.592102
10.0,10,1.593076
10.0,16,1.594614
10.0,8,1.595391
10.0,14,1.596748
10.0,14,1.598106
10.0,10,1.599073
10.0,10,1.600052
10.0,42,1.604056
10.0,10,1.605036
10.0,12,1.606187
10.0,8,1.606969
10.0,8,1.607756
10.0,14,1.609102
10.0,12,1.610264
10.0,14,1.611608
10.0,38,1.615224
10.0,14,1.616564
10.0,12,1.617718
10.0,16,1.619252
10.0,46,1.623606
10.0,14,1.624952
10.0,12,1.626106
10.0,30,1.62898
10.0,22,1.631089
10.0,10,1.632059
10.0,24,1.634353
10.0,16,1.6359
10.0,20,1.637953
10.0,28,1.640768
10.0,28,1.643741
10.0,12,1.644905
10.0,28,1.647574
10.0,18,1.649312
10.0,22,1.651418
10.0,12,1.652578
10.0,18,1.65431
10.0,36,1.657731
10.0,8,1.658518
10.0,20,1.660424
10.0,22,1.66252
10.0,36,1.665944
10.0,20,1.667859
10.0,14,1.669199
10.0,16,1.670737
10.0,12,1.671891
10.0,14,1.673244
10.0,14,1.674626
10.0,24,1.676917
10.0,16,1.678449
10.0,12,1.679603
10.0,8,1.680379
10.0,12,1.681528
10.0,10,1.682493
10.0,16,1.684018
10.0,14,1.685356
10.0,18,1.687069
10.0,10,1.688038
10.0,28,1.690713
10.0,28,1.693389
10.0,18,1.695108
10.0,8,1.695882
10.0,14,1.697226
10.0,12,1.698383
10.0,10,1.699345
10.0,22,1.701443
10.0,22,1.70356
10.0,14,1.704914
10.0,10,1.705875
10.0,20,1.707797
10.0,14,1.709144
10.0,20,1.711058
10.0,20,1.712976
10.0,16,1.714517
10.0,14,1.98983
10.0,16,1.991716
10.0,12,1.993001
10.0,10,1.994051
10.0,10,1.995103
10.0,14,1.996562
10.0,8,1.997395
10.0,12,1.998649
10.0,20,2.000678
10.0,18,2.002502
10.0,8,2.003327
10.0,10,2.00437
10.0,12,2.005604
10.0,18,2.008135
10.0,8,2.009054
10.0,12,2.010269
10.0,14,2.011661
10.0,14,2.013048
10.0,10,2.014045
10.0,12,2.015229
10.0,10,2.016213
10.0,8,2.017026
10.0,8,2.017814
10.0,14,2.01919
10.0,16,2.020744
10.0,16,2.022304
10.0,18,2.024086
10.0,12,2.025264
10.0,20,2.027199
10.0,14,2.028574
10.0,8,2.029362
10.0,8,2.030157
10.0,10,2.031146
10.0,10,2.032126
10.0,8,2.032913
10.0,12,2.034086
10.0,8,2.034895
10.0,8,2.035685
10.0,20,2.03763
10.0,8,2.038425
10.0,10,2.039398
10.0,10,2.04057
10.0,8,2.041412
10.0,12,2.042621
10.0,18,2.04441
10.0,8,2.045217
10.0,18,2.046975
10.0,10,2.048029
10.0,14,2.049505
10.0,18,2.051333
10.0,14,2.05278
10.0,16,2.054399
10.0,12,2.055615
10.0,24,2.058064
10.0,16,2.05964
10.0,12,2.060829
10.0,8,2.061621
10.0,12,2.062786
10.0,10,2.063764
10.0,10,2.064791
10.0,20,2.066735
10.0,10,2.067737
10.0,8,2.068524
10.0,12,2.069697
10.0,18,2.071447
10.0,18,2.073208
10.0,18,2.074943
10.0,14,2.076321
10.0,16,2.077876
10.0,8,2.078664
10.0,12,2.079835
10.0,12,2.081011
10.0,20,2.082983
10.0,14,2.084358
10.0,18,2.086098
10.0,8,2.086877
10.0,16,2.088416
10.0,16,2.089973
10.0,8,2.090755
10.0,14,2.092125
10.0,12,2.093286
10.0,18,2.095015
10.0,10,2.09599
10.0,20,2.098016
10.0,8,2.098906
10.0,8,2.099747
10.0,10,2.100751
10.0,12,2.101937
10.0,12,2.103123
10.0,8,2.103916
10.0,14,2.105298
10.0,10,2.10628
10.0,14,2.107685
10.0,14,2.109045
10.0,14,2.110402
10.0,18,2.112134
10.0,12,2.113293
10.0,14,2.114689
10.0,12,2.115894
10.0,12,2.117064
10.0,8,2.117847
10.0,12,2.119007
10.0,18,2.120739
10.0,10,2.121717
10.0,10,2.122691
10.0,12,2.124051
10.0,12,2.125278
10.0,14,2.126669
10.0,12,2.127855
10.0,14,2.129235
10.0,14,2.130609
10.0,8,2.131413
10.0,12,2.132593
10.0,10,2.1336
10.0,8,2.134392
10.0,14,2.135759
10.0,16,2.13731
10.0,12,2.138483
10.0,16,2.140091
10.0,12,2.141257
10.0,10,2.14223
10.0,14,2.143585
10.0,10,2.144561
10.0,8,2.145348
10.0,8,2.146134
10.0,12,2.147316
10.0,12,2.148505
10.0,12,2.149681
10.0,22,2.151791
10.0,12,2.152959
10.0,24,2.155266
10.0,24,2.15782
10.0,22,2.159992
10.0,12,2.161167
10.0,14,2.162529
10.0,14,2.163908
10.0,10,2.164899
10.0,18,2.166669
10.0,18,2.168408
10.0,16,2.169951
10.0,12,2.171131
10.0,10,2.172105
10.0,8,2.172882
10.0,10,2.173897
10.0,8,2.174679
10.0,12,2.175841
10.0,8,2.17663
10.0,8,2.177418
10.0,12,2.178581
10.0,8,2.179381
10.0,8,2.180177
10.0,10,2.181163
10.0,14,2.182524
10.0,22,2.184641
10.0,20,2.186574
10.0,14,2.187951
10.0,12,2.189108
10.0,10,2.1902
10.0,16,2.191804
10.0,8,2.192603
10.0,14,2.439841
10.0,14,2.441312
10.0,10,2.44233
10.0,10,2.443331
10.0,12,2.444523
10.0,10,2.445516
10.0,10,2.446496
10.0,8,2.447295
10.0,10,2.448284
10.0,8,2.449077
10.0,10,2.450064
10.0,10,2.451048
10.0,8,2.45184
10.0,10,2.45282
10.0,8,2.453614
10.0,8,2.454405
10.0,8,2.455191
10.0,8,2.455981
10.0,14,2.457345
10.0,8,2.458128
10.0,12,2.459294
10.0,14,2.460653
10.0,8,2.461435
10.0,16,2.462977
10.0,8,2.463767
10.0,8,2.464554
10.0,10,2.465531
10.0,12,2.466702
10.0,18,2.468449
10.0,12,2.469622
10.0,14,2.470987
10.0,8,2.471772
10.0,8,2.47256
10.0,8,2.473356
10.0,12,2.474525
10.0,8,2.475309
10.0,18,2.477043
10.0,8,2.477829
10.0,10,2.478796
10.0,10,2.479769
10.0,14,2.481125
10.0,18,2.482862
